lat;lon;grupo
-52.00;-75.00;1
-52.00;-74.75;1
-52.00;-74.25;1
-52.00;-73.75;1
-52.00;-73.50;1
-52.00;-73.00;1
-52.00;-72.75;1
-52.00;-72.50;1
-52.00;-72.25;1
-52.00;-72.00;1
-52.00;-71.75;1
-52.00;-71.50;1
-52.00;-71.25;1
-52.00;-71.00;1
-52.00;-70.75;1
-52.00;-70.50;1
-52.00;-70.25;1
-52.00;-70.00;1
-52.00;-69.75;1
-52.00;-69.50;1
-52.00;-69.25;1
-52.00;-69.00;1
-52.00;-68.75;1
-52.00;-60.75;1
-52.00;-60.50;1
-52.00;-59.50;1
-52.00;-59.25;1
-52.00;-58.75;1
-51.75;-74.50;1
-51.75;-74.00;1
-51.75;-73.75;1
-51.75;-73.50;1
-51.75;-73.25;1
-51.75;-72.50;1
-51.75;-72.25;1
-51.75;-72.00;1
-51.75;-71.75;1
-51.75;-71.50;1
-51.75;-71.25;1
-51.75;-71.00;1
-51.75;-70.75;1
-51.75;-70.50;1
-51.75;-70.25;1
-51.75;-70.00;1
-51.75;-69.75;1
-51.75;-69.50;1
-51.75;-69.25;1
-51.75;-69.00;1
-51.75;-61.25;1
-51.75;-60.50;1
-51.75;-60.25;1
-51.75;-60.00;1
-51.75;-59.50;1
-51.75;-59.25;1
-51.75;-58.75;1
-51.75;-58.50;1
-51.50;-74.25;1
-51.50;-74.00;1
-51.50;-73.75;1
-51.50;-73.50;1
-51.50;-73.25;1
-51.50;-72.75;1
-51.50;-72.50;1
-51.50;-72.25;1
-51.50;-72.00;1
-51.50;-71.75;1
-51.50;-71.50;1
-51.50;-71.25;1
-51.50;-71.00;1
-51.50;-70.75;1
-51.50;-70.50;1
-51.50;-70.25;1
-51.50;-70.00;1
-51.50;-69.75;1
-51.50;-69.50;1
-51.50;-60.25;1
-51.50;-60.00;1
-51.50;-59.75;1
-51.50;-59.00;1
-51.50;-58.75;1
-51.50;-58.50;1
-51.50;-58.25;1
-51.50;-58.00;1
-51.25;-75.25;1
-51.25;-74.75;1
-51.25;-74.50;1
-51.25;-73.75;1
-51.25;-73.50;1
-51.25;-73.25;1
-51.25;-73.00;1
-51.25;-72.75;1
-51.25;-72.50;1
-51.25;-72.25;1
-51.25;-72.00;1
-51.25;-71.75;1
-51.25;-71.50;1
-51.25;-71.25;1
-51.25;-71.00;1
-51.25;-70.75;1
-51.25;-70.50;1
-51.25;-70.25;1
-51.25;-70.00;1
-51.25;-69.75;1
-51.25;-69.50;1
-51.25;-69.25;1
-51.25;-60.75;1
-51.25;-59.75;1
-51.25;-59.50;1
-51.25;-58.75;1
-51.25;-58.50;1
-51.00;-75.00;1
-51.00;-74.75;1
-51.00;-74.00;1
-51.00;-73.75;1
-51.00;-73.50;1
-51.00;-73.25;1
-51.00;-73.00;1
-51.00;-72.75;1
-51.00;-72.50;1
-51.00;-72.25;1
-51.00;-72.00;1
-51.00;-71.75;1
-51.00;-71.50;1
-51.00;-71.25;1
-51.00;-71.00;1
-51.00;-70.75;1
-51.00;-70.50;1
-51.00;-70.25;1
-51.00;-70.00;1
-51.00;-69.75;1
-51.00;-69.50;1
-50.75;-74.75;1
-50.75;-74.25;1
-50.75;-74.00;1
-50.75;-73.75;1
-50.75;-73.50;1
-50.75;-73.25;1
-50.75;-73.00;1
-50.75;-72.75;1
-50.75;-72.50;1
-50.75;-72.25;1
-50.75;-72.00;1
-50.75;-71.75;1
-50.75;-71.50;1
-50.75;-71.25;1
-50.75;-71.00;1
-50.75;-70.75;1
-50.75;-70.50;1
-50.75;-70.25;1
-50.75;-70.00;1
-50.75;-69.75;1
-50.75;-69.50;1
-50.50;-75.50;1
-50.50;-74.75;1
-50.50;-74.50;1
-50.50;-74.25;1
-50.50;-74.00;1
-50.50;-73.50;1
-50.50;-73.25;1
-50.50;-73.00;1
-50.50;-72.75;1
-50.50;-72.50;1
-50.50;-72.25;1
-50.50;-72.00;1
-50.50;-71.75;1
-50.50;-71.50;1
-50.50;-71.25;1
-50.50;-71.00;1
-50.50;-70.75;1
-50.50;-70.50;1
-50.50;-70.25;1
-50.50;-70.00;1
-50.50;-69.75;1
-50.50;-69.50;1
-50.50;-69.25;1
-50.25;-75.25;1
